class_output_accuracy,class_output_loss,loss,reg_output_loss,reg_output_mse,val_class_output_accuracy,val_class_output_loss,val_loss,val_reg_output_loss,val_reg_output_mse
0.453506737947464,1.5384044647216797,176165.453125,586290.1875,587214.5,0.5320855379104614,2.000096559524536,566730.3125,1882691.75,1889095.75
0.47435274720191956,1.0592780113220215,176133.359375,586185.0,587108.5625,0.5345162749290466,0.9295652508735657,566454.4375,1881779.75,1888180.625
0.48365139961242676,1.0664018392562866,176102.84375,586080.375,587006.375,0.47180360555648804,0.930416464805603,566844.5625,1883071.5,1889479.5
0.491491436958313,1.0400407314300537,176044.6875,585886.875,586812.625,0.5933398008346558,0.8745696544647217,566384.4375,1881543.375,1887946.125
0.478789359331131,1.3095697164535522,175941.8125,585544.6875,586469.8125,0.59722900390625,0.9544328451156616,566425.5,1881678.875,1888082.125
0.46420323848724365,1.0365711450576782,175875.734375,585324.9375,586249.75,0.6118133068084717,0.9834028482437134,565819.4375,1879666.125,1886062.5
0.46857908368110657,1.0501312017440796,175676.1875,584665.5,585584.875,0.5636849999427795,0.9640957117080688,564197.8125,1874283.125,1880656.875
0.4841375946998596,1.0143977403640747,175581.65625,584346.6875,585269.9375,0.45770540833473206,0.9951906204223633,564066.6875,1873844.5,1880220.625
0.4825574457645416,1.024632453918457,175346.125,583563.0,584484.6875,0.5921244621276855,0.9977204203605652,564181.875,1874226.25,1880604.0
0.464750200510025,1.0652676820755005,175624.140625,584487.5,585411.0,0.49927079677581787,0.9820438623428345,563854.5625,1873138.375,1879512.5
0.46924760937690735,1.040920615196228,175621.796875,584488.4375,585403.8125,0.47374817728996277,0.9944796562194824,563402.5,1871638.0,1878006.75
0.4622584283351898,1.0363125801086426,175659.921875,584607.0,585530.625,0.5157997012138367,0.9527952075004578,563023.3125,1870377.875,1876742.5
0.4560593068599701,1.0352169275283813,175176.0,583005.5625,583917.5625,0.556635856628418,0.9454579949378967,561346.5,1864813.0,1871153.125
0.4729548990726471,1.0041942596435547,174729.125,581509.875,582428.5,0.5359747409820557,0.9291428923606873,562205.8125,1867662.25,1874017.625
0.47186094522476196,0.9996632933616638,174689.640625,581381.3125,582296.9375,0.5357316732406616,0.9438949823379517,563719.6875,1872691.375,1879064.0
